label	id	name	class	pathway_size	genes_found_n	genes_found_frac	genes_found	genes_not_found
190372 [Sig Transd]	R-HSA-190372	FGFR3c ligand binding and activation	Sig Transd	13	12	0.923076923076923	FGF1|FGF17|FGF18|FGF2|FGF20|FGF23|FGF4|FGF5|FGF8|FGF9|FGFR3|GALNT3	FGF16
190322 [Sig Transd]	R-HSA-190322	FGFR4 ligand binding and activation	Sig Transd	14	12	0.857142857142857	FGF1|FGF17|FGF18|FGF19|FGF2|FGF20|FGF23|FGF4|FGF8|FGF9|FGFR4|KLB	FGF16|FGF6
1839128 [Disease]	R-HSA-1839128	FGFR4 mutant receptor activation	Disease	1	1	1	FGFR4	
5658623 [Sig Transd]	R-HSA-5658623	FGFRL1 modulation of FGFR1 signaling	Sig Transd	13	12	0.923076923076923	FGF10|FGF17|FGF18|FGF2|FGF22|FGF23|FGF4|FGF5|FGF8|FGFRL1|SPRED1|SPRED2	FGF3
217271 [Metab]	R-HSA-217271	FMO oxidises nucleophiles	Metab	3	3	1	FMO1|FMO2|FMO3	
9614085 [Gene Expr]	R-HSA-9614085	FOXO-mediated transcription	Gene Expr	66	64	0.96969696969697	ABCA6|AGRP|AKT1|AKT2|AKT3|ATXN3|BBC3|BCL2L11|BCL6|BTG1|CAT|CAV1|CCNG2|CDKN1A|CDKN1B|CITED2|CREBBP|DDIT3|EP300|FASLG|FBXO32|FOXG1|FOXO1|FOXO3|FOXO4|FOXO6|G6PC|GADD45A|GCK|HDAC1|HDAC2|IGFBP1|KAT2B|KLF4|MSTN|NFYA|NFYB|NFYC|NR3C1|PCBP4|PCK1|PINK1|PLXNA4|POMC|PPARGC1A|RBL2|RETN|SFN|SIN3A|SIRT1|SIRT3|SMAD2|SMAD3|SMAD4|SOD2|SREBF1|STK11|TRIM63|TXN|TXNIP|YWHAB|YWHAG|YWHAQ|YWHAZ	INS|NPY
9617828 [Gene Expr]	R-HSA-9617828	FOXO-mediated transcription of cell cycle genes	Gene Expr	17	17	1	BTG1|CAV1|CCNG2|CDKN1A|CDKN1B|FOXG1|FOXO1|FOXO3|FOXO4|GADD45A|KLF4|MSTN|PCBP4|RBL2|SMAD2|SMAD3|SMAD4	
9614657 [Gene Expr]	R-HSA-9614657	FOXO-mediated transcription of cell death genes	Gene Expr	16	16	1	BBC3|BCL2L11|BCL6|CITED2|CREBBP|DDIT3|EP300|FASLG|FOXO1|FOXO3|FOXO4|NFYA|NFYB|NFYC|PINK1|STK11	
9615017 [Gene Expr]	R-HSA-9615017	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	Gene Expr	30	28	0.933333333333333	ABCA6|AGRP|ATXN3|CAT|FBXO32|FOXO1|FOXO3|FOXO4|FOXO6|G6PC|GCK|HDAC1|HDAC2|IGFBP1|NR3C1|PCK1|PLXNA4|POMC|PPARGC1A|RETN|SIN3A|SIRT3|SMAD2|SMAD3|SMAD4|SOD2|SREBF1|TRIM63	INS|NPY
5654693 [Sig Transd]	R-HSA-5654693	FRS-mediated FGFR1 signaling	Sig Transd	23	21	0.91304347826087	FGF1|FGF10|FGF17|FGF2|FGF20|FGF22|FGF23|FGF4|FGF5|FGF8|FGF9|FGFR1|FRS2|FRS3|GRB2|HRAS|KL|KRAS|NRAS|PTPN11|SOS1	FGF3|FGF6
5654700 [Sig Transd]	R-HSA-5654700	FRS-mediated FGFR2 signaling	Sig Transd	25	22	0.88	FGF1|FGF10|FGF17|FGF18|FGF2|FGF20|FGF22|FGF23|FGF4|FGF5|FGF7|FGF8|FGF9|FGFR2|FRS2|FRS3|GRB2|HRAS|KRAS|NRAS|PTPN11|SOS1	FGF16|FGF3|FGF6
5654706 [Sig Transd]	R-HSA-5654706	FRS-mediated FGFR3 signaling	Sig Transd	20	19	0.95	FGF1|FGF17|FGF18|FGF2|FGF20|FGF23|FGF4|FGF5|FGF8|FGF9|FGFR3|FRS2|FRS3|GRB2|HRAS|KRAS|NRAS|PTPN11|SOS1	FGF16
5654712 [Sig Transd]	R-HSA-5654712	FRS-mediated FGFR4 signaling	Sig Transd	22	20	0.909090909090909	FGF1|FGF17|FGF18|FGF19|FGF2|FGF20|FGF23|FGF4|FGF8|FGF9|FGFR4|FRS2|FRS3|GRB2|HRAS|KLB|KRAS|NRAS|PTPN11|SOS1	FGF16|FGF6
983231 [Hemost]	R-HSA-983231	Factors involved in megakaryocyte development and platelet production	Hemost	139	123	0.884892086330935	ABL1|AK3|AKAP1|AKAP10|CABLES1|CABLES2|CAPZA1|CAPZA2|CAPZB|CARMIL1|CBX5|CDC42|CDK2|CDK5|CENPE|DOCK1|DOCK10|DOCK11|DOCK2|DOCK3|DOCK4|DOCK5|DOCK6|DOCK7|DOCK8|DOCK9|EHD1|EHD2|EHD3|GATA1|GATA2|GATA3|GATA4|GATA5|GATA6|H3F3A|HBB|HBE1|HBG2|HDAC1|HDAC2|HIST1H3A|HIST2H3A|HMG20B|IFNA5|IRF1|IRF2|ITPK1|JAK2|JMJD1C|KDM1A|KIF11|KIF12|KIF13B|KIF15|KIF16B|KIF18A|KIF18B|KIF19|KIF1A|KIF1B|KIF1C|KIF20A|KIF20B|KIF21A|KIF21B|KIF22|KIF23|KIF25|KIF26A|KIF26B|KIF27|KIF28P|KIF2A|KIF2C|KIF3A|KIF3B|KIF3C|KIF4A|KIF4B|KIF5A|KIF5B|KIF5C|KIF6|KIF9|KIFAP3|KIFC1|KIFC2|KLC1|KLC2|KLC3|KLC4|MAFF|MAFG|MAFK|MFN1|MFN2|MICAL1|MYB|NFE2|PHF21A|PRKACA|PRKACB|PRKAR1A|PRKAR1B|PRKAR2A|PRKAR2B|RAB5A|RAC1|RACGAP1|RAD51B|RAD51C|RBSN|RCOR1|SH2B1|SH2B2|SH2B3|SIN3A|TP53|VPS45|WEE1|ZFPM1|ZFPM2	HBD|HBG1|IFNA1|IFNA10|IFNA14|IFNA16|IFNA17|IFNA2|IFNA21|IFNA4|IFNA6|IFNA7|IFNA8|IFNB1|KIF2B|PRKACG
6783310 [DNA Repair]	R-HSA-6783310	Fanconi Anemia Pathway	DNA Repair	38	36	0.947368421052632	ATR|ATRIP|DCLRE1A|DCLRE1B|EME1|EME2|ERCC1|ERCC4|FAAP100|FAAP20|FAAP24|FAN1|FANCA|FANCB|FANCC|FANCD2|FANCE|FANCF|FANCG|FANCI|FANCL|FANCM|MUS81|POLN|RPA1|RPA2|RPA3|RPS27A|SLX1A|SLX4|UBA52|UBB|UBC|UBE2T|USP1|WDR48	APITD1|STRA13
75157 [Sig Transd]	R-HSA-75157	FasL/ CD95L signaling	Sig Transd	5	5	1	CASP10|CASP8|FADD|FAS|FASLG	
434316 [Metab]	R-HSA-434316	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	Metab	8	7	0.875	GNA11|GNA14|GNA15|GNAQ|PLCB1|PLCB2|PLCB3	FFAR1
8978868 [Metab]	R-HSA-8978868	Fatty acid metabolism	Metab	177	172	0.971751412429379	ABCC1|ABCD1|ACAA1|ACAA2|ACACA|ACAD10|ACAD11|ACADL|ACADM|ACADS|ACADVL|ACBD4|ACBD5|ACBD6|ACBD7|ACLY|ACOT1|ACOT11|ACOT12|ACOT13|ACOT2|ACOT4|ACOT6|ACOT7|ACOT8|ACOT9|ACOX1|ACOX2|ACOX3|ACOXL|ACSBG1|ACSBG2|ACSF2|ACSF3|ACSL1|ACSL3|ACSL4|ACSL5|ACSL6|ACSM3|ACSM6|AKR1C3|ALDH3A2|ALOX12|ALOX12B|ALOX15|ALOX15B|ALOX5|ALOX5AP|ALOXE3|AMACR|AWAT1|CBR1|CBR4|CPT1A|CPT1B|CPT2|CRAT|CROT|CYP1A1|CYP1A2|CYP1B1|CYP2C19|CYP2C8|CYP2C9|CYP2J2|CYP2U1|CYP4A11|CYP4A22|CYP4B1|CYP4F11|CYP4F2|CYP4F22|CYP4F3|CYP4F8|CYP8B1|DBI|DECR1|DECR2|DPEP1|DPEP2|DPEP3|ECHS1|ECI1|ECI2|EHHADH|ELOVL1|ELOVL2|ELOVL3|ELOVL4|ELOVL5|ELOVL6|ELOVL7|EPHX2|FAAH|FAAH2|FADS1|FADS2|FASN|GGT1|GGT5|GPX1|GPX2|GPX4|HACD1|HACD2|HACD3|HACD4|HACL1|HADH|HADHA|HADHB|HAO2|HPGD|HPGDS|HSD17B12|HSD17B3|HSD17B4|HSD17B8|LTA4H|LTC4S|MAPKAPK2|MCAT|MCEE|MECR|MID1IP1|MLYCD|MMAA|MORC2|NDUFAB1|NUDT19|NUDT7|OLAH|PCCA|PCCB|PCTP|PECR|PHYH|PLA2G4A|PON1|PON2|PON3|PPARD|PPT1|PPT2|PRKAA2|PRKAB2|PRKAG2|PTGDS|PTGES|PTGES2|PTGES3|PTGIS|PTGR1|PTGR2|PTGS1|PTGS2|RXRA|SCD|SCD5|SCP2|SLC22A5|SLC25A1|SLC25A17|SLC25A20|SLC27A2|SLC27A3|TBXAS1|TECR|THEM4|THEM5|THRSP	ACOT7L|HTD2|MMUT|PRXL2B|TECRL
211935 [Metab]	R-HSA-211935	Fatty acids	Metab	15	15	1	CYP2A13|CYP2A7|CYP2B6|CYP2D6|CYP2F1|CYP2J2|CYP4A11|CYP4A22|CYP4B1|CYP4F11|CYP4F12|CYP4F2|CYP4F22|CYP4F3|CYP4F8	
75105 [Metab]	R-HSA-75105	Fatty acyl-CoA biosynthesis	Metab	37	35	0.945945945945946	ACACA|ACLY|ACSBG1|ACSBG2|ACSF3|ACSL1|ACSL3|ACSL4|ACSL5|ACSL6|CBR4|ELOVL1|ELOVL2|ELOVL3|ELOVL4|ELOVL5|ELOVL6|ELOVL7|FASN|HACD1|HACD2|HACD3|HACD4|HSD17B12|HSD17B3|HSD17B8|MORC2|OLAH|PPT1|PPT2|SCD|SCD5|SLC25A1|SLC27A3|TECR	HTD2|TECRL
2454202 [Imm Sys]	R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	Imm Sys	210	203	0.966666666666667	AHCYL1|BCL10|BTK|BTRC|CALM1|CARD11|CDC34|CHUK|CUL1|FBXW11|FCER1A|FCER1G|FOS|FYN|GAB2|GRAP2|GRB2|HRAS|IGHE|IGHV1-2|IGHV1-46|IGHV1-69|IGHV2-5|IGHV2-70|IGHV3-11|IGHV3-13|IGHV3-23|IGHV3-30|IGHV3-33|IGHV3-48|IGHV3-53|IGHV3-7|IGHV4-34|IGHV4-39|IGHV4-59|IGHV7-81|IGKC|IGKV1-12|IGKV1-16|IGKV1-17|IGKV1-33|IGKV1-39|IGKV1-5|IGKV1D-12|IGKV1D-16|IGKV1D-33|IGKV1D-39|IGKV2-28|IGKV2-29|IGKV2-30|IGKV2D-28|IGKV2D-30|IGKV2D-40|IGKV3-11|IGKV3-15|IGKV3-20|IGKV3D-20|IGKV4-1|IGKV5-2|IGLC1|IGLC2|IGLC3|IGLC6|IGLC7|IGLV1-36|IGLV1-40|IGLV1-44|IGLV1-47|IGLV1-51|IGLV10-54|IGLV2-11|IGLV2-14|IGLV2-18|IGLV2-23|IGLV2-8|IGLV3-1|IGLV3-12|IGLV3-16|IGLV3-19|IGLV3-21|IGLV3-25|IGLV3-27|IGLV4-3|IGLV4-60|IGLV4-69|IGLV5-37|IGLV5-45|IGLV6-57|IGLV7-43|IGLV7-46|IGLV8-61|IKBKB|IKBKG|ITK|ITPR1|ITPR2|ITPR3|JUN|KRAS|LAT|LAT2|LCP2|LYN|MALT1|MAP2K4|MAP2K7|MAP3K1|MAP3K7|MAPK1|MAPK10|MAPK3|MAPK8|MAPK9|MS4A2|NFATC1|NFATC2|NFATC3|NFKB1|NFKBIA|NRAS|PAK1|PAK2|PDPK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PLCG1|PLCG2|PPP3CA|PPP3CB|PPP3R1|PRKCQ|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RAC1|RASGRP1|RASGRP2|RASGRP4|RELA|RPS27A|SEM1|SHC1|SKP1|SOS1|SYK|TAB1|TAB2|TAB3|TEC|TRAF6|TXK|UBA52|UBB|UBC|UBE2D1|UBE2D2|UBE2N|UBE2V1|VAV1|VAV2|VAV3	IGHV|IGHV3-9|IGLV|IGLV11-55|IGLV2-33|IGLV3-22|PSMB11
2029480 [Imm Sys]	R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	Imm Sys	168	162	0.964285714285714	ABI1|ABI2|ABL1|ACTB|ACTG1|ACTR2|ACTR3|AHCYL1|ARPC1A|ARPC1B|ARPC2|ARPC3|ARPC4|ARPC5|BAIAP2|BRK1|BTK|CD247|CD3G|CDC42|CFL1|CRK|CYFIP1|CYFIP2|DOCK1|ELMO1|ELMO2|FCGR1A|FCGR2A|FCGR3A|FGR|FYN|GRB2|HCK|HSP90AA1|HSP90AB1|IGHG1|IGHG2|IGHG3|IGHG4|IGHV1-2|IGHV1-46|IGHV1-69|IGHV2-5|IGHV2-70|IGHV3-11|IGHV3-13|IGHV3-23|IGHV3-30|IGHV3-33|IGHV3-48|IGHV3-53|IGHV3-7|IGHV4-34|IGHV4-39|IGHV4-59|IGHV7-81|IGKC|IGKV1-12|IGKV1-16|IGKV1-17|IGKV1-33|IGKV1-39|IGKV1-5|IGKV1D-12|IGKV1D-16|IGKV1D-33|IGKV1D-39|IGKV2-28|IGKV2-29|IGKV2-30|IGKV2D-28|IGKV2D-30|IGKV2D-40|IGKV3-11|IGKV3-15|IGKV3-20|IGKV3D-20|IGKV4-1|IGKV5-2|IGLC1|IGLC2|IGLC3|IGLC6|IGLC7|IGLV1-36|IGLV1-40|IGLV1-44|IGLV1-47|IGLV1-51|IGLV10-54|IGLV2-11|IGLV2-14|IGLV2-18|IGLV2-23|IGLV2-8|IGLV3-1|IGLV3-12|IGLV3-16|IGLV3-19|IGLV3-21|IGLV3-25|IGLV3-27|IGLV4-3|IGLV4-60|IGLV4-69|IGLV5-37|IGLV5-45|IGLV6-57|IGLV7-43|IGLV7-46|IGLV8-61|ITPR1|ITPR2|ITPR3|LIMK1|LYN|MAPK1|MAPK3|MYH2|MYH9|MYO10|MYO1C|MYO5A|MYO9B|NCK1|NCKAP1|NCKAP1L|NCKIPSD|NF2|PAK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PLA2G6|PLCG1|PLCG2|PLD1|PLD2|PLD3|PLD4|PLPP4|PLPP5|PRKCD|PRKCE|PTK2|RAC1|SRC|SYK|VAV1|VAV2|VAV3|WAS|WASF1|WASF2|WASF3|WASL|WIPF1|WIPF2|WIPF3|YES1	IGHV|IGHV3-9|IGLV|IGLV11-55|IGLV2-33|IGLV3-22
1187000 [Reprod]	R-HSA-1187000	Fertilization	Reprod	26	17	0.653846153846154	ACR|ADAM20|ADAM21|B4GALT1|CATSPER1|CATSPER2|CATSPER3|CATSPERB|CATSPERG|CD9|HVCN1|IZUMO1|IZUMO4|KCNU1|OVGP1|ZP1|ZP3	ADAM2|ADAM30|CATSPER4|CATSPERD|IZUMO2|IZUMO3|SPAM1|ZP2|ZP4
1566977 [ECM Org]	R-HSA-1566977	Fibronectin matrix formation	ECM Org	6	6	1	CEACAM1|CEACAM6|CEACAM8|FN1|ITGA5|ITGB1	
2855086 [Imm Sys]	R-HSA-2855086	Ficolins bind to repetitive carbohydrate structures on the target cell surface	Imm Sys	5	5	1	FCN1|FCN2|FCN3|MASP1|MASP2	
390450 [Metab Prot]	R-HSA-390450	Folding of actin by CCT/TriC	Metab Prot	10	10	1	ACTB|CCT2|CCT3|CCT4|CCT5|CCT6A|CCT6B|CCT7|CCT8|TCP1	
163210 [Metab]	R-HSA-163210	Formation of ATP by chemiosmotic coupling	Metab	18	2	0.111111111111111	MT-ATP6|MT-ATP8	ATP5F1A|ATP5F1B|ATP5F1C|ATP5F1D|ATP5F1E|ATP5MC1|ATP5MC2|ATP5MC3|ATP5ME|ATP5MF|ATP5MG|ATP5PB|ATP5PD|ATP5PF|ATP5PO|DMAC2L
140877 [Hemost]	R-HSA-140877	Formation of Fibrin Clot (Clotting Cascade)	Hemost	39	35	0.897435897435897	A2M|C1QBP|CD177|F10|F11|F12|F13A1|F13B|F2|F2R|F3|F5|F7|F8|F9|FGA|FGB|FGG|GP1BA|GP1BB|GP5|KLKB1|KNG1|PRCP|PROC|PROCR|PROS1|SERPINA5|SERPINC1|SERPIND1|SERPINE2|SERPING1|TFPI|THBD|VWF	GP9|PF4|PF4V1|PRTN3
167152 [Disease]	R-HSA-167152	Formation of HIV elongation complex in the absence of HIV Tat	Disease	48	48	1	CCNH|CCNK|CCNT1|CCNT2|CDK7|CDK9|CTDP1|ELL|ELOA|ELOA2|ELOA3|ELOA3B|ELOA3D|ELOB|ELOC|ERCC2|ERCC3|GTF2F1|GTF2F2|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|MNAT1|NCBP1|NCBP2|NELFA|NELFB|NELFCD|NELFE|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|SSRP1|SUPT16H|SUPT4H1|SUPT5H|TCEA1	
167200 [Disease]	R-HSA-167200	Formation of HIV-1 elongation complex containing HIV-1 Tat	Disease	47	46	0.978723404255319	CCNH|CCNT1|CDK7|CDK9|CTDP1|ELL|ELOA|ELOA2|ELOA3|ELOA3B|ELOA3D|ELOB|ELOC|ERCC2|ERCC3|GTF2F1|GTF2F2|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|MNAT1|NCBP1|NCBP2|NELFA|NELFB|NELFCD|NELFE|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|SSRP1|SUPT16H|SUPT4H1|SUPT5H|TCEA1	tat
5696395 [DNA Repair]	R-HSA-5696395	Formation of Incision Complex in GG-NER	DNA Repair	43	43	1	CCNH|CDK7|CETN2|CHD1L|CUL4A|CUL4B|DDB1|DDB2|ERCC1|ERCC2|ERCC3|ERCC4|ERCC5|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|MNAT1|PARP1|PARP2|PIAS1|PIAS3|RAD23A|RAD23B|RBX1|RNF111|RPA1|RPA2|RPA3|RPS27A|SUMO1|SUMO2|SUMO3|UBA52|UBB|UBC|UBE2I|UBE2N|UBE2V2|USP45|XPA|XPC	
112382 [Gene Expr]	R-HSA-112382	Formation of RNA Pol II elongation complex	Gene Expr	61	61	1	AFF4|CCNH|CCNK|CCNT1|CCNT2|CDC73|CDK7|CDK9|CTDP1|CTR9|EAF1|EAF2|ELL|ELOA|ELOA2|ELOA3|ELOA3B|ELOA3D|ELOB|ELOC|ERCC2|ERCC3|GTF2F1|GTF2F2|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|IWS1|LEO1|MLLT1|MLLT3|MNAT1|NCBP1|NCBP2|NELFA|NELFB|NELFCD|NELFE|PAF1|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|RTF1|SSRP1|SUPT16H|SUPT4H1|SUPT5H|SUPT6H|TCEA1|WDR61	
2559584 [Cell Resp]	R-HSA-2559584	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	Cell Resp	17	17	1	ASF1A|CABIN1|CDKN1A|EP400|H1F0|HIRA|HIST1H1A|HIST1H1B|HIST1H1C|HIST1H1D|HIST1H1E|HMGA1|HMGA2|LMNB1|RB1|TP53|UBN1	
6781823 [DNA Repair]	R-HSA-6781823	Formation of TC-NER Pre-Incision Complex	DNA Repair	53	53	1	AQR|CCNH|CDK7|COPS2|COPS3|COPS4|COPS5|COPS6|COPS7A|COPS7B|COPS8|CUL4A|CUL4B|DDB1|EP300|ERCC2|ERCC3|ERCC6|ERCC8|GPS1|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|HMGN1|ISY1|MNAT1|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|PPIE|PRPF19|RBX1|RPS27A|TCEA1|UBA52|UBB|UBC|USP7|UVSSA|XAB2|XPA|ZNF830	
72689 [Metab Prot]	R-HSA-72689	Formation of a pool of free 40S subunits	Metab Prot	106	102	0.962264150943396	EIF1AX|EIF3A|EIF3B|EIF3C|EIF3D|EIF3E|EIF3F|EIF3G|EIF3H|EIF3I|EIF3J|EIF3K|EIF3L|EIF3M|FAU|RPL10|RPL10A|RPL10L|RPL11|RPL12|RPL13|RPL13A|RPL14|RPL15|RPL17|RPL18|RPL18A|RPL19|RPL21|RPL22|RPL22L1|RPL23|RPL23A|RPL24|RPL26|RPL26L1|RPL27|RPL27A|RPL28|RPL29|RPL3|RPL30|RPL31|RPL32|RPL34|RPL35|RPL35A|RPL36|RPL36A|RPL36AL|RPL37|RPL37A|RPL38|RPL39|RPL39L|RPL3L|RPL4|RPL41|RPL5|RPL6|RPL7|RPL7A|RPL8|RPL9|RPLP0|RPLP1|RPLP2|RPS10|RPS11|RPS12|RPS13|RPS14|RPS15|RPS15A|RPS16|RPS17|RPS18|RPS19|RPS2|RPS20|RPS21|RPS23|RPS24|RPS25|RPS26|RPS27|RPS27A|RPS27L|RPS28|RPS29|RPS3|RPS3A|RPS4X|RPS4Y1|RPS4Y2|RPS5|RPS6|RPS7|RPS8|RPS9|RPSA|UBA52	18S rRNA|28S rRNA|5.8S rRNA|5S rRNA
196025 [Ves-med Transp]	R-HSA-196025	Formation of annular gap junctions	Ves-med Transp	9	9	1	AP2M1|CLTA|CLTB|CLTC|CLTCL1|DAB2|DNM1|DNM2|GJA1	
111458 [Prog Cell Death]	R-HSA-111458	Formation of apoptosome	Prog Cell Death	11	11	1	APAF1|APIP|AVEN|CARD8|CASP9|CYCS|DIABLO|MAPK1|MAPK3|UACA|XIAP	
77042 [Metab RNA]	R-HSA-77042	Formation of editosomes by ADAR proteins	Metab RNA	2	2	1	ADAR|ADARB1	
113418 [Gene Expr]	R-HSA-113418	Formation of the Early Elongation Complex	Gene Expr	33	33	1	CCNH|CDK7|CTDP1|ERCC2|ERCC3|GTF2F1|GTF2F2|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|MNAT1|NCBP1|NCBP2|NELFA|NELFB|NELFCD|NELFE|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|SUPT4H1|SUPT5H	
75094 [Metab RNA]	R-HSA-75094	Formation of the Editosome	Metab RNA	8	7	0.875	A1CF|APOBEC2|APOBEC3A|APOBEC3B|APOBEC3C|APOBEC3H|APOBEC4	APOBEC1
167158 [Disease]	R-HSA-167158	Formation of the HIV-1 Early Elongation Complex	Disease	33	33	1	CCNH|CDK7|CTDP1|ERCC2|ERCC3|GTF2F1|GTF2F2|GTF2H1|GTF2H2|GTF2H3|GTF2H4|GTF2H5|MNAT1|NCBP1|NCBP2|NELFA|NELFB|NELFCD|NELFE|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|SUPT4H1|SUPT5H	
173599 [Metab]	R-HSA-173599	Formation of the active cofactor, UDP-glucuronate	Metab	3	3	1	SLC35D1|UGDH|UGP2	
201722 [Sig Transd]	R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	Sig Transd	61	61	1	ASH2L|AXIN2|BCL9|BCL9L|CDC73|CREBBP|CTNNB1|EP300|H2AFB1|H2AFJ|H2AFV|H2AFX|H2AFZ|H2BFS|H3F3A|HDAC1|HIST1H2AB|HIST1H2AC|HIST1H2AD|HIST1H2AJ|HIST1H2BA|HIST1H2BB|HIST1H2BC|HIST1H2BD|HIST1H2BH|HIST1H2BJ|HIST1H2BK|HIST1H2BL|HIST1H2BM|HIST1H2BN|HIST1H2BO|HIST1H3A|HIST1H4A|HIST2H2AA3|HIST2H2AC|HIST2H2BE|HIST2H3A|HIST3H2BB|HIST3H3|KAT5|KMT2D|LEF1|LEO1|MEN1|MYC|PYGO1|PYGO2|RBBP5|RUNX3|RUVBL1|SMARCA4|TCF4|TCF7|TCF7L1|TCF7L2|TERT|TLE1|TLE2|TLE3|TLE4|TRRAP	
6809371 [Dev Biol]	R-HSA-6809371	Formation of the cornified envelope	Dev Biol	75	35	0.466666666666667	CAPN1|CAPNS1|CDSN|CSTA|DSC1|DSC2|DSC3|DSG1|DSG2|DSG3|DSG4|DSP|EVPL|FLG|FURIN|JUP|KAZN|KLK14|LIPJ|LIPM|LIPN|PCSK6|PERP|PI3|PKP1|PKP2|PKP3|PKP4|PPL|PRSS8|SPINK5|SPINK6|ST14|TCHH|TGM1	CASP14|CELA2A|IVL|KLK12|KLK13|KLK5|KLK8|LCE1A|LCE1B|LCE1C|LCE1D|LCE1E|LCE1F|LCE2A|LCE2B|LCE2C|LCE2D|LCE3A|LCE3B|LCE3C|LCE3D|LCE3E|LCE4A|LCE5A|LCE6A|LELP1|LIPK|LOR|RPTN|SPINK9|SPRR1A|SPRR1B|SPRR2A|SPRR2B|SPRR2D|SPRR2E|SPRR2F|SPRR2G|SPRR3|TGM5
72695 [Metab Prot]	R-HSA-72695	Formation of the ternary complex, and subsequently, the 43S complex	Metab Prot	53	52	0.981132075471698	EIF1AX|EIF2S1|EIF2S2|EIF2S3|EIF3A|EIF3B|EIF3C|EIF3D|EIF3E|EIF3F|EIF3G|EIF3H|EIF3I|EIF3J|EIF3K|EIF3L|EIF3M|FAU|RPS10|RPS11|RPS12|RPS13|RPS14|RPS15|RPS15A|RPS16|RPS17|RPS18|RPS19|RPS2|RPS20|RPS21|RPS23|RPS24|RPS25|RPS26|RPS27|RPS27A|RPS27L|RPS28|RPS29|RPS3|RPS3A|RPS4X|RPS4Y1|RPS4Y2|RPS5|RPS6|RPS7|RPS8|RPS9|RPSA	18S rRNA
389960 [Metab Prot]	R-HSA-389960	Formation of tubulin folding intermediates by CCT/TriC	Metab Prot	26	26	1	CCT2|CCT3|CCT4|CCT5|CCT6A|CCT6B|CCT7|CCT8|TCP1|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBA4B|TUBA8|TUBAL3|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6	
5661270 [Metab]	R-HSA-5661270	Formation of xylulose-5-phosphate	Metab	5	5	1	AKR1A1|CRYL1|DCXR|SORD|XYLB	
444473 [Sig Transd]	R-HSA-444473	Formyl peptide receptors bind formyl peptides and many other ligands	Sig Transd	9	9	1	ANXA1|APP|CCL23|FPR1|FPR2|FPR3|HEBP1|MT-RNR2|SAA1	
444209 [Sig Transd]	R-HSA-444209	Free fatty acid receptors	Sig Transd	5	4	0.8	FFAR2|FFAR3|FFAR4|GPR31	FFAR1
400451 [Metab]	R-HSA-400451	Free fatty acids regulate insulin secretion	Metab	11	10	0.909090909090909	ACSL3|ACSL4|CD36|GNA11|GNA14|GNA15|GNAQ|PLCB1|PLCB2|PLCB3	FFAR1
170968 [Sig Transd]	R-HSA-170968	Frs2-mediated activation	Sig Transd	10	10	1	BRAF|CRKL|FRS2|MAPK1|MAPK3|NGF|NTRK1|RAP1A|RAPGEF1|YWHAB	
